--- RawMouseToXbox360 Started 7/2/2025 3:25:30 PM ---
ViGEm controller created and connected.
Registered for raw mouse input.
MouseDelta: dx=0, dy=-2 -> stickX=0, stickY=-3932
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-2 -> stickX=0, stickY=-3932
MouseDelta: dx=0, dy=-2 -> stickX=0, stickY=-3932
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=2 -> stickX=0, stickY=3932
MouseDelta: dx=0, dy=2 -> stickX=0, stickY=3932
MouseDelta: dx=0, dy=2 -> stickX=0, stickY=3932
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=2 -> stickX=0, stickY=3932
MouseDelta: dx=0, dy=3 -> stickX=0, stickY=5898
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=2 -> stickX=0, stickY=3932
MouseDelta: dx=0, dy=3 -> stickX=0, stickY=5898
MouseDelta: dx=0, dy=3 -> stickX=0, stickY=5898
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=3 -> stickX=0, stickY=5898
MouseDelta: dx=0, dy=2 -> stickX=0, stickY=3932
MouseDelta: dx=0, dy=2 -> stickX=0, stickY=3932
MouseDelta: dx=0, dy=3 -> stickX=0, stickY=5898
MouseDelta: dx=0, dy=2 -> stickX=0, stickY=3932
MouseDelta: dx=0, dy=3 -> stickX=0, stickY=5898
MouseDelta: dx=0, dy=2 -> stickX=0, stickY=3932
MouseDelta: dx=0, dy=2 -> stickX=0, stickY=3932
MouseDelta: dx=0, dy=3 -> stickX=0, stickY=5898
MouseDelta: dx=0, dy=3 -> stickX=0, stickY=5898
MouseDelta: dx=0, dy=2 -> stickX=0, stickY=3932
MouseDelta: dx=0, dy=3 -> stickX=0, stickY=5898
MouseDelta: dx=0, dy=2 -> stickX=0, stickY=3932
MouseDelta: dx=0, dy=3 -> stickX=0, stickY=5898
MouseDelta: dx=0, dy=3 -> stickX=0, stickY=5898
MouseDelta: dx=0, dy=3 -> stickX=0, stickY=5898
MouseDelta: dx=0, dy=3 -> stickX=0, stickY=5898
MouseDelta: dx=0, dy=3 -> stickX=0, stickY=5898
MouseDelta: dx=0, dy=3 -> stickX=0, stickY=5898
MouseDelta: dx=0, dy=3 -> stickX=0, stickY=5898
MouseDelta: dx=0, dy=4 -> stickX=0, stickY=7864
MouseDelta: dx=0, dy=4 -> stickX=0, stickY=7864
MouseDelta: dx=0, dy=4 -> stickX=0, stickY=7864
MouseDelta: dx=0, dy=4 -> stickX=0, stickY=7864
MouseDelta: dx=0, dy=4 -> stickX=0, stickY=7864
MouseDelta: dx=0, dy=4 -> stickX=0, stickY=7864
MouseDelta: dx=0, dy=5 -> stickX=0, stickY=9830
MouseDelta: dx=0, dy=4 -> stickX=0, stickY=7864
MouseDelta: dx=0, dy=5 -> stickX=0, stickY=9830
MouseDelta: dx=0, dy=5 -> stickX=0, stickY=9830
MouseDelta: dx=0, dy=6 -> stickX=0, stickY=11796
MouseDelta: dx=0, dy=6 -> stickX=0, stickY=11796
MouseDelta: dx=0, dy=6 -> stickX=0, stickY=11796
MouseDelta: dx=0, dy=5 -> stickX=0, stickY=9830
MouseDelta: dx=0, dy=7 -> stickX=0, stickY=13762
MouseDelta: dx=0, dy=6 -> stickX=0, stickY=11796
MouseDelta: dx=0, dy=6 -> stickX=0, stickY=11796
MouseDelta: dx=0, dy=6 -> stickX=0, stickY=11796
MouseDelta: dx=0, dy=7 -> stickX=0, stickY=13762
MouseDelta: dx=0, dy=6 -> stickX=0, stickY=11796
MouseDelta: dx=0, dy=6 -> stickX=0, stickY=11796
MouseDelta: dx=0, dy=7 -> stickX=0, stickY=13762
MouseDelta: dx=0, dy=7 -> stickX=0, stickY=13762
MouseDelta: dx=0, dy=6 -> stickX=0, stickY=11796
MouseDelta: dx=0, dy=7 -> stickX=0, stickY=13762
MouseDelta: dx=0, dy=6 -> stickX=0, stickY=11796
MouseDelta: dx=0, dy=7 -> stickX=0, stickY=13762
MouseDelta: dx=0, dy=7 -> stickX=0, stickY=13762
MouseDelta: dx=0, dy=5 -> stickX=0, stickY=9830
MouseDelta: dx=0, dy=7 -> stickX=0, stickY=13762
MouseDelta: dx=0, dy=7 -> stickX=0, stickY=13762
MouseDelta: dx=0, dy=6 -> stickX=0, stickY=11796
MouseDelta: dx=0, dy=7 -> stickX=0, stickY=13762
MouseDelta: dx=0, dy=6 -> stickX=0, stickY=11796
